"Tiempo","Frecuencia (Hz)","ESTACION","FECHA DE SUSCRIPCION","TIPO","Level (dBµV/m)","Bandwidth (Hz)","Offset (Hz)","FM (Hz)","Arch_ Info"
"01/05/2025  17:17:01,791","    90500000"," ","05/01/2024  13:44:39,000","R","  43,4","      493437","       -3251","       49975",
"01/05/2025  17:17:01,791","    90700000"," ","05/01/2024  13:44:39,000","R","  42,4","      494687","         233","       49970",
"01/05/2025  17:17:01,791","    90900000"," ","05/01/2024  13:44:39,000","R","  41,2","      493437","          57","       49974",
"01/05/2025  17:17:01,791","    91100000"," ","05/01/2024  13:44:39,000","R","  43,1","      495625","         415","       49974",
"01/05/2025  17:17:01,791","    91300000"," ","05/01/2024  13:44:39,000","R","  45,0","      489062","        -263","       49988",
"01/05/2025  17:17:01,791","    91500000"," ","05/01/2024  13:44:39,000","R","  39,9","      493125","         499","       49974",
"01/05/2025  17:17:01,791","    91700000"," ","05/01/2024  13:44:39,000","R","  44,2","      491250","        -292","       49988",
"01/05/2025  17:17:01,791","    91900000"," ","05/01/2024  13:44:39,000","R","  53,3","      128750","       11995","       49977",
"01/05/2025  17:17:01,791","    92100000","AMAZONAS FM","03/03/2021  13:44:39,000","R","  91,1","      139375","        1293","       49984",
"01/05/2025  17:17:01,791","    92300000"," ","05/01/2024  13:44:39,000","R","  41,6","      116250","       -5096","       49976",
"01/05/2025  17:17:01,791","    92500000"," ","05/01/2024  13:44:39,000","R","  49,2","      476875","        -191","       49974",
"01/05/2025  17:17:01,791","    92700000"," ","05/01/2024  13:44:39,000","R","  38,4","      489687","        -178","       49978",
"01/05/2025  17:17:01,791","    92900000"," ","05/01/2024  13:44:39,000","R","  42,9","      494687","        -502","       49974",
"01/05/2025  17:17:01,791","    93100000"," ","05/01/2024  13:44:39,000","R","  37,8","      495937","         362","       49974",
"01/05/2025  17:17:01,791","    93300000"," ","05/01/2024  13:44:39,000","R","  47,0","      493125","         203","       49974",
"01/05/2025  17:17:01,791","    93500000"," ","05/01/2024  13:44:39,000","R","  40,2","      494375","         388","       49974",
"01/05/2025  17:17:01,791","    93700000"," ","05/01/2024  13:44:39,000","R","  45,1","      483125","         301","       49974",
"01/05/2025  17:17:01,791","    93900000"," ","05/01/2024  13:44:39,000","R","  39,9","      493750","         526","       49974",
"01/05/2025  17:17:01,791","    94100000"," ","05/01/2024  13:44:39,000","R","  37,9","      497187","         365","       49974",
"01/05/2025  17:17:01,791","    94300000"," ","05/01/2024  13:44:39,000","R","  38,9","      125312","        1125","       49975",
"01/05/2025  17:17:01,791","    94500000","LA KARIBEÑA","14/03/2022  13:44:39,000","R","  81,8","      143437","        1632","       49975",
"01/05/2025  17:17:01,791","    94700000"," ","05/01/2024  13:44:39,000","R","  44,1","      120625","         428","       49974",
"01/05/2025  17:17:01,791","    94900000"," ","05/01/2024  13:44:39,000","R","  39,3","      494375","        1385","       49975",
"01/05/2025  17:17:01,791","    95100000"," ","05/01/2024  13:44:39,000","R","  34,9","      495625","        -170","       49978",
"01/05/2025  17:17:01,791","    95300000"," ","05/01/2024  13:44:39,000","R","  39,8","      495312","         -29","       49974",
"01/05/2025  17:17:01,791","    95500000"," ","05/01/2024  13:44:39,000","R","  34,6","      113437","         181","       49974",
"01/05/2025  17:17:01,791","    95700000","RADIO ROMÁNTICA FM","14/07/2017  13:44:39,000","R","  89,5","      129062","        1085","       49978",
"01/05/2025  17:17:01,791","    95900000"," ","05/01/2024  13:44:39,000","R","  36,0","      109687","        -801","       49975",
"01/05/2025  17:17:01,791","    96100000"," ","05/01/2024  13:44:39,000","R","  50,3","      435000","         -26","       49974",
"01/05/2025  17:17:01,791","    96300000"," ","05/01/2024  13:44:39,000","R","  39,6","      467500","       -1898","       49975",
"01/05/2025  17:17:01,791","    96500000"," ","05/01/2024  13:44:39,000","R","  35,8","      495625","        -188","       49974",
"01/05/2025  17:17:01,791","    96700000"," ","05/01/2024  13:44:39,000","R","  40,5","      472812","        -205","       49974",
"01/05/2025  17:17:01,791","    96900000"," ","05/01/2024  13:44:39,000","R","  48,9","      416562","         474","       49984",
"01/05/2025  17:17:01,791","    97100000"," ","05/01/2024  13:44:39,000","R","  36,7","      468750","        -255","       49974",
"01/05/2025  17:17:01,791","    97300000"," ","05/01/2024  13:44:39,000","R","  40,7","      497500","         224","       49986",
"01/05/2025  17:17:01,791","    97500000"," ","05/01/2024  13:44:39,000","R","  34,9","      488437","        -500","       49974",
"01/05/2025  17:17:01,791","    97700000"," ","05/01/2024  13:44:39,000","R","  45,0","       64062","         870","       49974",
"01/05/2025  17:17:01,791","    97900000"," ","05/01/2024  13:44:39,000","R","  38,7","      111250","        1711","       49975",
"01/05/2025  17:17:01,791","    98100000","RADIO PODOCARPUS","04/03/2021  13:45:39,000","M"," 102,9","      253125","          21","       49974",
"01/05/2025  17:17:01,791","    98300000"," ","05/01/2024  13:44:39,000","R","  67,8","      153125","       -4481","       49984",
"01/05/2025  17:17:01,791","    98500000"," ","05/01/2024  13:44:39,000","R","  46,4","       68437","         963","       49975",
"01/05/2025  17:17:01,791","    98700000"," ","05/01/2024  13:44:39,000","R","  36,1","      398437","        1676","       49975",
"01/05/2025  17:17:01,791","    98900000"," ","05/01/2024  13:44:39,000","R","  57,0","      277187","        -470","       49980",
"01/05/2025  17:17:01,791","    99100000"," ","05/01/2024  13:44:39,000","R","  34,5","      491562","        -748","       49975",
"01/05/2025  17:17:01,791","    99300000"," ","05/01/2024  13:44:39,000","R","  47,5","      477500","          24","       49974",
"01/05/2025  17:17:01,791","    99500000"," ","05/01/2024  13:44:39,000","R","  37,9","      475937","       11882","       49986",
"01/05/2025  17:17:01,791","    99700000"," ","05/01/2024  13:44:39,000","R","  35,1","      495312","         -21","       49974",
"01/05/2025  17:17:01,791","    99900000"," ","05/01/2024  13:44:39,000","R","  34,0","      362187","         341","       49974",
"01/05/2025  17:17:01,791","   100100000"," ","05/01/2024  13:44:39,000","R","  55,3","      304687","         893","       49986",
"01/05/2025  17:17:01,791","   100300000"," ","05/01/2024  13:44:39,000","R","  35,4","      483125","        -404","       49974",
"01/05/2025  17:17:01,791","   100500000"," ","05/01/2024  13:44:39,000","R","  42,1","      490312","         623","       49974",
"01/05/2025  17:17:01,791","   100700000"," ","05/01/2024  13:44:39,000","R","  36,3","       70937","        -418","       49974",
"01/05/2025  17:17:01,791","   100900000","ZT RADIO LA RUMBERA","01/03/2021  13:44:39,000","R","  73,7","       78437","          -6","       48727",
"01/05/2025  17:17:01,791","   101100000"," ","05/01/2024  13:44:39,000","R","  34,8","       70312","        -271","       49974",
"01/05/2025  17:17:01,791","   101300000","LUCA RADIO 101.3","04/03/2021  13:44:39,000","M","  44,7","      479687","         672","       49974",
"01/05/2025  17:17:01,791","   101500000"," ","05/01/2024  13:44:39,000","R","  34,4","      493750","        -504","       49984",
"01/05/2025  17:17:01,791","   101700000"," ","05/01/2024  13:44:39,000","R","  39,0","      490625","        -498","       49974",
"01/05/2025  17:17:01,791","   101900000"," ","05/01/2024  13:44:39,000","R","  34,2","      491875","        -887","       49975",
"01/05/2025  17:17:01,791","   102100000"," ","05/01/2024  13:44:39,000","R","  44,6","      460000","        -357","       49974",
"01/05/2025  17:17:01,791","   102300000"," ","05/01/2024  13:44:39,000","R","  38,3","      496562","         531","       49985",
"01/05/2025  17:17:01,791","   102500000"," ","05/01/2024  13:44:39,000","R","  43,9","      474062","        -599","       49980",
"01/05/2025  17:17:01,791","   102700000"," ","05/01/2024  13:44:39,000","R","  34,8","      489062","          -3","       49984",
"01/05/2025  17:17:01,791","   102900000"," ","05/01/2024  13:44:39,000","R","  35,2","      495000","         334","       49974",
"01/05/2025  17:17:01,791","   103100000"," ","05/01/2024  13:44:39,000","R","  34,8","      494062","        -322","       49974",
"01/05/2025  17:17:01,791","   103300000"," ","05/01/2024  13:44:39,000","R","  37,2","      493437","         348","       49974",
"01/05/2025  17:17:01,791","   103500000"," ","05/01/2024  13:44:39,000","R","  44,5","      488125","        1696","       49975",
"01/05/2025  17:17:01,791","   103700000"," ","05/01/2024  13:44:39,000","R","  46,5","      451875","        -131","       49988",
"01/05/2025  17:17:01,791","   103900000"," ","05/01/2024  13:44:39,000","R","  40,9","      123437","        4220","       49975",
"01/05/2025  17:17:01,791","   104100000","INTEGRACION FM","17/10/1994  13:44:39,000","M","  81,7","      132500","       -1840","       49975",
"01/05/2025  17:17:01,791","   104300000"," ","05/01/2024  13:44:39,000","R","  42,5","      130312","       -3668","       49984",
"01/05/2025  17:17:01,791","   104500000"," ","05/01/2024  13:44:39,000","R","  42,0","      487500","         126","       49974",
"01/05/2025  17:17:01,791","   104700000"," ","05/01/2024  13:44:39,000","R","  34,0","      497187","        -115","       49974",
"01/05/2025  17:17:01,791","   104900000"," ","05/01/2024  13:44:39,000","R","  43,1","      474062","        -569","       49974",
"01/05/2025  17:17:01,791","   105100000"," ","05/01/2024  13:44:39,000","R","  33,4","      440625","        -408","       49974",
"01/05/2025  17:17:01,791","   105300000","PUBLICA FM","27/11/2015  13:44:39,000","R","  54,7","      151562","         209","       49974",
"01/05/2025  17:17:01,791","   105500000"," ","05/01/2024  13:44:39,000","R","  35,4","      452812","         655","       49974",
"01/05/2025  17:17:01,791","   105700000"," ","05/01/2024  13:44:39,000","R","  40,6","      498437","        -401","       49978",
"01/05/2025  17:17:01,791","   105900000"," ","05/01/2024  13:44:39,000","R","  43,3","      475312","        1373","       49975",
"01/05/2025  17:17:01,791","   106100000"," ","05/01/2024  13:44:39,000","R","  55,5","      458437","        -642","       49988",
"01/05/2025  17:17:01,791","   106300000"," ","05/01/2024  13:44:39,000","R","  54,3","      458125","       -1602","       49975",
"01/05/2025  17:17:01,791","   106500000"," ","05/01/2024  13:44:39,000","R","  42,0","      491875","        -526","       49974",
"01/05/2025  17:17:01,791","   106700000"," ","05/01/2024  13:44:39,000","R","  36,1","      114375","         306","       49974",
"01/05/2025  17:17:01,791","   106900000","ZETA","25/02/2021  13:44:39,000","M","  95,8","      136250","         421","       49974",
"01/05/2025  17:17:01,791","   107300000"," ","05/01/2024  13:44:39,000","R","  40,3","      487187","        -210","       49996",
"01/05/2025  17:17:01,791","   107500000"," ","05/01/2024  13:44:39,000","R","  40,3","      491875","        -693","       49975",
"01/05/2025  17:17:01,791","   107700000"," ","05/01/2024  13:44:39,000","R","  39,4","      495312","         140","       49974",
"01/05/2025  17:17:01,791","   107900000"," ","05/01/2024  13:44:39,000","R","  33,0","      491250","        -552","       49974",
"01/05/2025  17:17:01,791","   108000000"," ","05/01/2024  13:44:39,000","R","  34,0","      484062","        2725","       49975",
"01/05/2025  17:17:21,182","    88100000"," ","05/01/2024  13:44:39,000","R","  48,4","      483750","         547","       49974",
"01/05/2025  17:17:21,182","    88300000"," ","05/01/2024  13:44:39,000","R","  39,5","      474062","          12","       49974",
"01/05/2025  17:17:21,182","    88500000","RADIO SONORAMA FM","04/03/2021  13:44:39,000","R","  58,9","      458437","         -72","        6709",
"01/05/2025  17:17:21,182","    88700000"," ","05/01/2024  13:44:39,000","R","  40,3","         625","        -322","       49974",
"01/05/2025  17:17:21,182","    88900000","LA RADIO DE LA ASAMBLEA NACIONA","24/01/2022  13:44:39,000","R","  87,3","         625","         -66","         136",
"01/05/2025  17:17:21,182","    90100000","RADIO ONDA MUNICIPAL FM","07/02/2018  13:44:39,000","M"," 103,0","      115312","         150","       49974",
"01/05/2025  17:17:21,182","    90300000"," ","05/01/2024  13:44:39,000","R","  48,1","      110937","       -2352","       49975",
"01/05/2025  17:17:21,182","    90500000"," ","05/01/2024  13:44:39,000","R","  39,6","      493750","       -3989","       49983",
"01/05/2025  17:17:21,182","    90700000"," ","05/01/2024  13:44:39,000","R","  41,2","      495000","         264","       49974",
"01/05/2025  17:17:21,182","    90900000"," ","05/01/2024  13:44:39,000","R","  43,1","      493125","        -373","       49974",
"01/05/2025  17:17:21,182","    91100000"," ","05/01/2024  13:44:39,000","R","  43,5","      495312","         -60","       49984",
"01/05/2025  17:17:21,182","    91300000"," ","05/01/2024  13:44:39,000","R","  45,3","      493437","         385","       49974",
"01/05/2025  17:17:21,182","    91500000"," ","05/01/2024  13:44:39,000","R","  41,3","      494375","         303","       49974",
"01/05/2025  17:17:21,182","    91700000"," ","05/01/2024  13:44:39,000","R","  41,0","      488750","         130","       49974",
"01/05/2025  17:17:21,182","    91900000"," ","05/01/2024  13:44:39,000","R","  55,2","      129062","       11911","       49986",
"01/05/2025  17:17:21,182","    92100000","AMAZONAS FM","03/03/2021  13:44:39,000","R","  90,5","      143437","          21","       49984",
"01/05/2025  17:17:21,182","    92300000"," ","05/01/2024  13:44:39,000","R","  37,6","      122500","       -6450","       49976",
"01/05/2025  17:17:21,182","    92500000"," ","05/01/2024  13:44:39,000","R","  49,8","      492187","        -341","       49974",
"01/05/2025  17:17:21,182","    92700000"," ","05/01/2024  13:44:39,000","R","  42,6","      494375","        -320","       49974",
"01/05/2025  17:17:21,182","    92900000"," ","05/01/2024  13:44:39,000","R","  42,3","      495937","        -692","       49988",
"01/05/2025  17:17:21,182","    93100000"," ","05/01/2024  13:44:39,000","R","  40,5","      495625","          51","       49974",
"01/05/2025  17:17:21,182","    93300000"," ","05/01/2024  13:44:39,000","R","  40,6","      494062","         787","       49974",
"01/05/2025  17:17:21,182","    93500000"," ","05/01/2024  13:44:39,000","R","  41,7","      493437","         676","       49974",
"01/05/2025  17:17:21,182","    93700000"," ","05/01/2024  13:44:39,000","R","  43,4","      486250","         347","       49974",
"01/05/2025  17:17:21,182","    93900000"," ","05/01/2024  13:44:39,000","R","  43,3","      494687","         115","       49970",
"01/05/2025  17:17:21,182","    94100000"," ","05/01/2024  13:44:39,000","R","  37,1","      496250","          27","       49978",
"01/05/2025  17:17:21,182","    94300000"," ","05/01/2024  13:44:39,000","R","  41,5","      115937","         -54","       49974",
"01/05/2025  17:17:21,182","    94500000","LA KARIBEÑA","14/03/2022  13:44:39,000","R","  81,4","      128125","        1772","       49975",
"01/05/2025  17:17:21,182","    94700000"," ","05/01/2024  13:44:39,000","R","  37,3","      115000","        -111","       49974",
"01/05/2025  17:17:21,182","    94900000"," ","05/01/2024  13:44:39,000","R","  40,3","      493437","        1074","       49988",
"01/05/2025  17:17:21,182","    95100000"," ","05/01/2024  13:44:39,000","R","  35,4","      495937","          -1","       49982",
"01/05/2025  17:17:21,182","    95300000"," ","05/01/2024  13:44:39,000","R","  41,3","      492187","         659","       49971",
"01/05/2025  17:17:21,182","    95500000"," ","05/01/2024  13:44:39,000","R","  35,6","       38437","        -179","       49986",
"01/05/2025  17:17:21,182","    95700000","RADIO ROMÁNTICA FM","14/07/2017  13:44:39,000","R","  86,9","       38437","         -31","        5597",
"01/05/2025  17:17:21,182","    95900000"," ","05/01/2024  13:44:39,000","R","  36,0","       38437","         907","       49986",
"01/05/2025  17:17:21,182","    96100000"," ","05/01/2024  13:44:39,000","R","  51,4","      474062","         196","       49974",
"01/05/2025  17:17:21,182","    96300000"," ","05/01/2024  13:44:39,000","R","  36,3","      487187","        -878","       49975",
"01/05/2025  17:17:21,182","    96500000"," ","05/01/2024  13:44:39,000","R","  46,2","      497812","          73","       49974",
"01/05/2025  17:17:21,182","    96700000"," ","05/01/2024  13:44:39,000","R","  41,5","      482187","        -184","       49988",
"01/05/2025  17:17:21,182","    96900000"," ","05/01/2024  13:44:39,000","R","  47,8","      462812","         375","       49982",
"01/05/2025  17:17:21,182","    97100000"," ","05/01/2024  13:44:39,000","R","  34,9","      481250","        -791","       49975",
"01/05/2025  17:17:21,182","    97300000"," ","05/01/2024  13:44:39,000","R","  37,0","      496250","         142","       49978",
"01/05/2025  17:17:21,182","    97500000"," ","05/01/2024  13:44:39,000","R","  38,6","      492187","         809","       49974",
"01/05/2025  17:17:21,182","    97700000"," ","05/01/2024  13:44:39,000","R","  43,6","       72812","        -417","       49980",
"01/05/2025  17:17:21,182","    97900000"," ","05/01/2024  13:44:39,000","R","  38,8","      190625","        8001","       49985",
"01/05/2025  17:17:21,182","    98100000","RADIO PODOCARPUS","04/03/2021  13:45:39,000","M"," 103,1","      292812","        -430","       49974",
"01/05/2025  17:17:21,182","    98300000"," ","05/01/2024  13:44:39,000","R","  92,8","      192187","      -26964","       49986",
"01/05/2025  17:17:21,182","    98500000"," ","05/01/2024  13:44:39,000","R","  39,7","       54375","        1646","       49975",
"01/05/2025  17:17:21,182","    98700000"," ","05/01/2024  13:44:39,000","R","  35,4","      428125","        3550","       49981",
"01/05/2025  17:17:21,182","    98900000"," ","05/01/2024  13:44:39,000","R","  56,3","      374687","        -791","       49975",
"01/05/2025  17:17:21,182","    99100000"," ","05/01/2024  13:44:39,000","R","  52,1","      490312","       -1145","       49975",
"01/05/2025  17:17:21,182","    99300000"," ","05/01/2024  13:44:39,000","R","  48,9","      483125","        -505","       49974",
"01/05/2025  17:17:21,182","    99500000"," ","05/01/2024  13:44:39,000","R","  38,9","      481250","       11826","       49983",
"01/05/2025  17:17:21,182","    99700000"," ","05/01/2024  13:44:39,000","R","  36,2","      495000","         241","       49986",
"01/05/2025  17:17:21,182","    99900000"," ","05/01/2024  13:44:39,000","R","  34,3","      363750","         362","       49974",
"01/05/2025  17:17:21,182","   100100000"," ","05/01/2024  13:44:39,000","R","  55,4","      313437","        1074","       49975",
"01/05/2025  17:17:21,182","   100300000"," ","05/01/2024  13:44:39,000","R","  35,3","      481250","        -309","       49974",
"01/05/2025  17:17:21,182","   100500000"," ","05/01/2024  13:44:39,000","R","  42,6","      492812","         714","       49974",
"01/05/2025  17:17:21,182","   100700000"," ","05/01/2024  13:44:39,000","R","  33,6","       71875","        -378","       49974",
"01/05/2025  17:17:21,182","   100900000","ZT RADIO LA RUMBERA","01/03/2021  13:44:39,000","R","  72,0","       81875","          21","       16690",
"01/05/2025  17:17:21,182","   101100000"," ","05/01/2024  13:44:39,000","R","  35,2","       60312","         255","       49982",
"01/05/2025  17:17:21,182","   101300000","LUCA RADIO 101.3","04/03/2021  13:44:39,000","M","  43,8","      479687","         444","       49974",
"01/05/2025  17:17:21,182","   101500000"," ","05/01/2024  13:44:39,000","R","  38,1","      494687","         384","       49978",
"01/05/2025  17:17:21,182","   101700000"," ","05/01/2024  13:44:39,000","R","  40,2","      489375","         562","       49974",
"01/05/2025  17:17:21,182","   101900000"," ","05/01/2024  13:44:39,000","R","  34,9","      489375","        -728","       49975",
"01/05/2025  17:17:21,182","   102100000"," ","05/01/2024  13:44:39,000","R","  44,9","      457500","       -1511","       49975",
"01/05/2025  17:17:21,182","   102300000"," ","05/01/2024  13:44:39,000","R","  35,0","      494375","        1125","       49996",
"01/05/2025  17:17:21,182","   102500000"," ","05/01/2024  13:44:39,000","R","  43,5","      477500","         327","       49984",
"01/05/2025  17:17:21,182","   102700000"," ","05/01/2024  13:44:39,000","R","  35,3","      490000","        -186","       49974",
"01/05/2025  17:17:21,182","   102900000"," ","05/01/2024  13:44:39,000","R","  34,5","      495625","         187","       49978",
"01/05/2025  17:17:21,182","   103100000"," ","05/01/2024  13:44:39,000","R","  34,0","      495312","         132","       49974",
"01/05/2025  17:17:21,182","   103300000"," ","05/01/2024  13:44:39,000","R","  38,8","      493437","         832","       49974",
"01/05/2025  17:17:21,182","   103500000"," ","05/01/2024  13:44:39,000","R","  36,2","      488437","        1163","       49979",
"01/05/2025  17:17:21,182","   103700000"," ","05/01/2024  13:44:39,000","R","  47,1","      470625","         795","       49974",
"01/05/2025  17:17:21,182","   103900000"," ","05/01/2024  13:44:39,000","R","  40,5","      138125","        4658","       49992",
"01/05/2025  17:17:21,182","   104100000","INTEGRACION FM","17/10/1994  13:44:39,000","M","  81,6","      199062","          33","       49974",
"01/05/2025  17:17:21,182","   104300000"," ","05/01/2024  13:44:39,000","R","  37,9","      114062","       -3944","       49975",
"01/05/2025  17:17:21,182","   104500000"," ","05/01/2024  13:44:39,000","R","  43,0","      482187","         -50","       49974",
"01/05/2025  17:17:21,182","   104700000"," ","05/01/2024  13:44:39,000","R","  32,9","      496250","         -48","       49986",
"01/05/2025  17:17:21,182","   104900000"," ","05/01/2024  13:44:39,000","R","  43,5","      471562","         162","       49978",
"01/05/2025  17:17:21,182","   105100000"," ","05/01/2024  13:44:39,000","R","  32,8","      470000","        -851","       49981",
"01/05/2025  17:17:21,182","   105300000","PUBLICA FM","27/11/2015  13:44:39,000","R","  54,3","      118437","        1040","       49975",
"01/05/2025  17:17:21,182","   105500000"," ","05/01/2024  13:44:39,000","R","  37,8","      439375","        -374","       49974",
"01/05/2025  17:17:21,182","   105700000"," ","05/01/2024  13:44:39,000","R","  40,9","      476562","         676","       49974",
"01/05/2025  17:17:21,182","   105900000"," ","05/01/2024  13:44:39,000","R","  52,8","      480312","        6774","       49976",
"01/05/2025  17:17:21,182","   106100000"," ","05/01/2024  13:44:39,000","R","  55,2","      476875","         497","       49974",
"01/05/2025  17:17:21,182","   106300000"," ","05/01/2024  13:44:39,000","R","  51,1","      463750","       -3509","       49979",
"01/05/2025  17:17:21,182","   106500000"," ","05/01/2024  13:44:39,000","R","  42,7","      485000","       -1206","       49975",
"01/05/2025  17:17:21,182","   106700000"," ","05/01/2024  13:44:39,000","R","  34,8","      114687","         509","       49980",
"01/05/2025  17:17:21,182","   106900000","ZETA","25/02/2021  13:44:39,000","M","  95,6","      108437","        -176","       33657",
"01/05/2025  17:17:21,182","   107300000"," ","05/01/2024  13:44:39,000","R","  40,7","      488437","         461","       49978",
"01/05/2025  17:17:21,182","   107500000"," ","05/01/2024  13:44:39,000","R","  33,8","      492500","       -1206","       49975",
"01/05/2025  17:17:21,182","   107700000"," ","05/01/2024  13:44:39,000","R","  34,2","      495312","          17","       49974",
"01/05/2025  17:17:21,182","   107900000"," ","05/01/2024  13:44:39,000","R","  33,0","      491562","          85","       49974",
"01/05/2025  17:17:21,182","   108000000"," ","05/01/2024  13:44:39,000","R","  34,2","      484375","        1324","       49971",
"01/05/2025  17:17:40,585","    88100000"," ","05/01/2024  13:44:39,000","R","  49,0","      488750","         451","       49974",
"01/05/2025  17:17:40,585","    88300000"," ","05/01/2024  13:44:39,000","R","  39,3","      471250","        -894","       49975",
"01/05/2025  17:17:40,585","    88500000","RADIO SONORAMA FM","04/03/2021  13:44:39,000","R","  58,8","      459375","         -73","        6387",
"01/05/2025  17:17:40,585","    88700000"," ","05/01/2024  13:44:39,000","R","  40,4","         625","         629","       49982",
"01/05/2025  17:17:40,585","    88900000","LA RADIO DE LA ASAMBLEA NACIONA","24/01/2022  13:44:39,000","R","  87,6","         625","         -68","         143",
"01/05/2025  17:17:40,585","    90100000","RADIO ONDA MUNICIPAL FM","07/02/2018  13:44:39,000","M"," 104,6","      113437","         752","       49974",
"01/05/2025  17:17:40,585","    90300000"," ","05/01/2024  13:44:39,000","R","  48,1","      103125","       -2199","       49975",
"01/05/2025  17:17:40,585","    90500000"," ","05/01/2024  13:44:39,000","R","  42,6","      493437","        -889","       49999",
"01/05/2025  17:17:40,585","    90700000"," ","05/01/2024  13:44:39,000","R","  40,4","      495000","         375","       49974",
"01/05/2025  17:17:40,585","    90900000"," ","05/01/2024  13:44:39,000","R","  41,5","      492187","        -163","       49974",
"01/05/2025  17:17:40,585","    91100000"," ","05/01/2024  13:44:39,000","R","  37,3","      494687","        -103","       49978",
"01/05/2025  17:17:40,585","    91300000"," ","05/01/2024  13:44:39,000","R","  45,1","      487812","         937","       49984",
"01/05/2025  17:17:40,585","    91500000"," ","05/01/2024  13:44:39,000","R","  39,9","      493437","          49","       49974",
"01/05/2025  17:17:40,585","    91700000"," ","05/01/2024  13:44:39,000","R","  41,1","      488437","        -109","       49974",
"01/05/2025  17:17:40,585","    91900000"," ","05/01/2024  13:44:39,000","R","  48,1","      123125","        7948","       49976",
"01/05/2025  17:17:40,585","    92100000","AMAZONAS FM","03/03/2021  13:44:39,000","R","  90,4","      143437","        -672","       49975",
"01/05/2025  17:17:40,585","    92300000"," ","05/01/2024  13:44:39,000","R","  51,8","      117500","       -3150","       49975",
"01/05/2025  17:17:40,585","    92500000"," ","05/01/2024  13:44:39,000","R","  49,7","      466562","         -72","       49974",
"01/05/2025  17:17:40,585","    92700000"," ","05/01/2024  13:44:39,000","R","  45,4","      488437","       -1104","       49975",
"01/05/2025  17:17:40,585","    92900000"," ","05/01/2024  13:44:39,000","R","  42,5","      494062","        -100","       49974",
"01/05/2025  17:17:40,585","    93100000"," ","05/01/2024  13:44:39,000","R","  40,6","      495937","         372","       49970",
"01/05/2025  17:17:40,585","    93300000"," ","05/01/2024  13:44:39,000","R","  42,5","      494062","          94","       49988",
"01/05/2025  17:17:40,585","    93500000"," ","05/01/2024  13:44:39,000","R","  35,7","      496250","        -250","       49974",
"01/05/2025  17:17:40,585","    93700000"," ","05/01/2024  13:44:39,000","R","  44,8","      482187","         146","       49974",
"01/05/2025  17:17:40,585","    93900000"," ","05/01/2024  13:44:39,000","R","  41,4","      491875","         200","       49974",
"01/05/2025  17:17:40,585","    94100000"," ","05/01/2024  13:44:39,000","R","  48,8","      496562","        -408","       49986",
"01/05/2025  17:17:40,585","    94300000"," ","05/01/2024  13:44:39,000","R","  38,8","      120312","        -433","       49974",
"01/05/2025  17:17:40,585","    94500000","LA KARIBEÑA","14/03/2022  13:44:39,000","R","  82,4","      143750","          72","       49974",
"01/05/2025  17:17:40,585","    94700000"," ","05/01/2024  13:44:39,000","R","  35,3","      123437","        -933","       49975",
"01/05/2025  17:17:40,585","    94900000"," ","05/01/2024  13:44:39,000","R","  40,6","      494062","        1723","       49975",
"01/05/2025  17:17:40,585","    95100000"," ","05/01/2024  13:44:39,000","R","  39,1","      495625","         -80","       49974",
"01/05/2025  17:17:40,585","    95300000"," ","05/01/2024  13:44:39,000","R","  40,2","      493125","         372","       49974",
"01/05/2025  17:17:40,585","    95500000"," ","05/01/2024  13:44:39,000","R","  34,5","      104687","        -170","       49978",
"01/05/2025  17:17:40,585","    95700000","RADIO ROMÁNTICA FM","14/07/2017  13:44:39,000","R","  88,9","      127500","         767","       49971",
"01/05/2025  17:17:40,585","    95900000"," ","05/01/2024  13:44:39,000","R","  38,9","      111562","         925","       49974",
"01/05/2025  17:17:40,585","    96100000"," ","05/01/2024  13:44:39,000","R","  50,8","      419375","         -37","       49984",
"01/05/2025  17:17:40,585","    96300000"," ","05/01/2024  13:44:39,000","R","  42,7","      465000","       -1639","       49980",
"01/05/2025  17:17:40,585","    96500000"," ","05/01/2024  13:44:39,000","R","  38,6","      497187","         -29","       49974",
"01/05/2025  17:17:40,585","    96700000"," ","05/01/2024  13:44:39,000","R","  37,0","      473750","          82","       49974",
"01/05/2025  17:17:40,585","    96900000"," ","05/01/2024  13:44:39,000","R","  48,8","      428125","         109","       49980",
"01/05/2025  17:17:40,585","    97100000"," ","05/01/2024  13:44:39,000","R","  45,7","      470000","        -210","       49974",
"01/05/2025  17:17:40,585","    97300000"," ","05/01/2024  13:44:39,000","R","  37,1","      497812","        -126","       49974",
"01/05/2025  17:17:40,585","    97500000"," ","05/01/2024  13:44:39,000","R","  34,8","      488125","        -302","       49974",
"01/05/2025  17:17:40,585","    97700000"," ","05/01/2024  13:44:39,000","R","  44,6","       61875","        -497","       49984",
"01/05/2025  17:17:40,585","    97900000"," ","05/01/2024  13:44:39,000","R","  52,7","      194375","        8404","       49976",
"01/05/2025  17:17:40,585","    98100000","RADIO PODOCARPUS","04/03/2021  13:45:39,000","M"," 103,1","      331562","         586","       49978",
"01/05/2025  17:17:40,585","    98300000"," ","05/01/2024  13:44:39,000","R","  85,8","      208125","      -24975","       49981",
"01/05/2025  17:17:40,585","    98500000"," ","05/01/2024  13:44:39,000","R","  37,8","       74375","        1107","       49975",
"01/05/2025  17:17:40,585","    98700000"," ","05/01/2024  13:44:39,000","R","  35,0","      422187","         981","       49981",
